Id,Designator,Package,Quantity,Designation,Supplier and ref
1,C2,C_0402_1005Metric,1,0.1u,
2,"C3,C4,C5,C9,C10,C11,C12,C13,C14",C_0402_1005Metric,9,10pF,
3,"C6,C7,C8,C15,C16,C17,C18,C19,C20",C_0402_1005Metric,9,33pF,
4,"C21,C22,C23,C24,C26",C_0402_1005Metric,5,10u,
6,"C27,C1,C35",C_0402_1005Metric,3,1u,
7,C28,C_0603_1608Metric,1,47u,
8,C29,C_0402_1005Metric,1,33p,
9,C30,C_0402_1005Metric,1,"0,1p",
10,C31,C_0402_1005Metric,1,10p,
11,"C32,C33,C34",C_0402_1005Metric,3,22p,
12,"D1,D2,D3,D4,D5,D6,D7,D8,D14",LED_0402_1005Metric,9,LED BLUE,
13,"D9,D10",LED_0402_1005Metric,2,green,
14,"D11,D12",LED_0402_1005Metric,2,red,
15,D15,LED_0402_1005Metric,1,LED GREEN,
16,D16,LED_0402_1005Metric,1,LED RED,
17,"D17,D19",LED_0402_1005Metric,2,LED WHITE,
18,"R1,R12,R13,R14",R_0402_1005Metric,4,10k,
19,"R2,R3,R4,R5,R8,R9,R10,R11,R19,R20,R23,R24,R25,R27,R28,R33",R_0402_1005Metric,16,1k,
20,"R6,R7",R_0402_1005Metric,2,1.2k,
21,"R15,R16,R17,R18",R_0402_1005Metric,4,51,
22,"R21,R22,R26",R_0402_1005Metric,3,5.6k,
23,"R29,R31",R_0402_1005Metric,2,4.7K,
24,"R30,R32",R_0402_1005Metric,2,47k,
25,U8,SIM800C,1,SIM800C,
27,U1,TSOPII_44_pin,1,CY62158EV30LL-45ZSXIT,
28,U2,TQFP-100_14x14mm_P0.5mm,1,XMega128A1U_TQFP100,
29,U6,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,MAX7370,
,,SUM,88,,
19,D13,D_SMA,1,ZENER,
24,L1,L_1210_3225Metric,1,10u,
25,"Q1,Q2",SOT-23,2,BC850,
34,U5,SOT-23,1,XC6206P332MR,
33,"U3,U4",SOP8,2,TP4056,
1,J1,microSD_HC_Wuerth_693072010801,1,Micro_SD_Card,
2,J4,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,
3,"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW20,SW21","button_4pin_7,5x5",21,SW_PUSH,
4,U7,molex-microSIM_SD-78646-001,1,78646-3001,
23,D18,SOT-363_SC-70-6,1,SMF05C,
26,U9,TSOP-6_CASE-318G-02,1,STF202-22T1G,
5,C25,CP_EIA-1608-10_AVX-L,1,100u (tantal),
